metric,value,unit,source,notes
dispatch_packed_8x1024_v64_median,0.15403199940919876,ms,05_dispatch_upgrade_17947.csv; median of repeat medians,
dispatch_packed_8x1024_v64_latency_reduction_vs_v128,1.332377352396063,%,derived from Job 17947 medians,
dispatch_packed_8x1024_compat_v128_median,0.15611200034618378,ms,05_dispatch_upgrade_17947.csv; median of repeat medians,
dispatch_packed_8x1024_compat_v128_latency_reduction_vs_v128,0.0,%,derived from Job 17947 medians,
dispatch_packed_8x1024_auto_median,0.15612800419330597,ms,05_dispatch_upgrade_17947.csv; median of repeat medians,
dispatch_packed_8x1024_auto_latency_reduction_vs_v128,-0.010251516274663893,%,derived from Job 17947 medians,
dispatch_packed_32x256_v16_median,0.2584640085697174,ms,05_dispatch_upgrade_17947.csv; median of repeat medians,
dispatch_packed_32x256_v16_latency_reduction_vs_v128,-106.30908635466051,%,derived from Job 17947 medians,
dispatch_packed_32x256_v32_median,0.17238399386405945,ms,05_dispatch_upgrade_17947.csv; median of repeat medians,
dispatch_packed_32x256_v32_latency_reduction_vs_v128,-37.598981278155264,%,derived from Job 17947 medians,
dispatch_packed_32x256_v64_median,0.1335040032863617,ms,05_dispatch_upgrade_17947.csv; median of repeat medians,
dispatch_packed_32x256_v64_latency_reduction_vs_v128,-6.564504261603887,%,derived from Job 17947 medians,
dispatch_packed_32x256_compat_v128_median,0.1252799928188324,ms,05_dispatch_upgrade_17947.csv; median of repeat medians,
dispatch_packed_32x256_compat_v128_latency_reduction_vs_v128,0.0,%,derived from Job 17947 medians,
dispatch_packed_32x256_auto_median,0.12534399330615997,ms,05_dispatch_upgrade_17947.csv; median of repeat medians,
dispatch_packed_32x256_auto_latency_reduction_vs_v128,-0.051085960245964325,%,derived from Job 17947 medians,
correctness_fixed_short_stateful_output_worst_rel_rmse,0.5659519076895856,%,03_reference_correctness_17934.csv; max across requested references,
correctness_fixed_short_stateful_final_state_worst_rel_rmse,0.5055681568153005,%,03_reference_correctness_17934.csv; max across requested references,
correctness_ragged_short_stateful_output_worst_rel_rmse,0.5540893480228593,%,03_reference_correctness_17934.csv; max across requested references,
correctness_ragged_short_stateful_final_state_worst_rel_rmse,0.4319328017765845,%,03_reference_correctness_17934.csv; max across requested references,
correctness_long_8192_random_output_worst_rel_rmse,0.5698246341576715,%,03_reference_correctness_17934.csv; max across requested references,
correctness_long_8192_random_final_state_worst_rel_rmse,0.4727708840264338,%,03_reference_correctness_17934.csv; max across requested references,
correctness_long_8192_memory_output_worst_rel_rmse,0.9130895966363569,%,03_reference_correctness_17934.csv; max across requested references,
correctness_long_8192_memory_final_state_worst_rel_rmse,0.8151206324063978,%,03_reference_correctness_17934.csv; max across requested references,
correctness_k3_fixed_8192_output_worst_rel_rmse,0.5737014212095946,%,03_reference_correctness_17934.csv; max across requested references,
correctness_k3_fixed_8192_final_state_worst_rel_rmse,0.4776599661038727,%,03_reference_correctness_17934.csv; max across requested references,
correctness_k3_ragged6_output_worst_rel_rmse,0.5656528990949659,%,03_reference_correctness_17934.csv; max across requested references,
correctness_k3_ragged6_final_state_worst_rel_rmse,0.4630450399579796,%,03_reference_correctness_17934.csv; max across requested references,
