# device=NVIDIA B300 SXM6 AC,cc=10.3,driver=13000,runtime=13000
level,V,grid,inner,warmup,iters,repeats,mma_median_kernel_us,mma_min_kernel_us,tcgen_median_kernel_us,tcgen_min_kernel_us,mma_median_phase_us,tcgen_median_phase_us,speedup_median,mma_regs,tcgen_regs,mma_static_smem_B,tcgen_static_smem_B,mma_active_blocks_per_sm,tcgen_active_blocks_per_sm,scope
L0,128,12,1,20,100,5,7.179200,7.177600,14.878720,14.860480,7.179200,14.878720,0.482515,34,32,8192,8204,12,1,phase6_core_operands_prestaged_optimistic_tcgen
L1,128,12,1,20,100,5,16.415679,16.415040,30.741119,30.723519,16.415679,30.741119,0.533997,38,39,41472,45580,5,1,phase6_plus_state_gate_plus_scalar_U_reformat_upper_envelope
L0,128,12,4,20,100,5,8.224640,8.223360,16.416000,16.415360,2.056160,4.104000,0.501014,34,32,8192,8204,12,1,phase6_core_operands_prestaged_optimistic_tcgen
L1,128,12,4,20,100,5,30.751679,30.740800,83.007679,82.995520,7.687920,20.751920,0.370468,38,39,41472,45580,5,1,phase6_plus_state_gate_plus_scalar_U_reformat_upper_envelope
L0,128,12,16,20,100,5,14.367681,14.367360,20.511999,20.510719,0.897980,1.282000,0.700452,34,32,8192,8204,12,1,phase6_core_operands_prestaged_optimistic_tcgen
L1,128,12,16,20,100,5,85.996799,85.987196,294.115524,294.073277,5.374800,18.382220,0.292391,38,39,41472,45580,5,1,phase6_plus_state_gate_plus_scalar_U_reformat_upper_envelope
L0,128,12,64,20,100,5,38.524799,38.451841,39.188161,39.150081,0.601950,0.612315,0.983072,34,32,8192,8204,12,1,phase6_core_operands_prestaged_optimistic_tcgen
L1,128,12,64,20,100,5,305.040646,305.039368,1138.146591,1138.104630,4.766260,17.783540,0.268015,38,39,41472,45580,5,1,phase6_plus_state_gate_plus_scalar_U_reformat_upper_envelope
L0,128,12,96,20,100,5,53.301439,53.291202,51.897922,51.815362,0.555223,0.540603,1.027044,34,32,8192,8204,12,1,phase6_core_operands_prestaged_optimistic_tcgen
L1,128,12,96,20,100,5,450.798416,450.795822,1700.753021,1700.731201,4.695817,17.716177,0.265058,38,39,41472,45580,5,1,phase6_plus_state_gate_plus_scalar_U_reformat_upper_envelope
L0,128,12,128,20,100,5,69.634242,69.633279,64.522882,64.512320,0.544018,0.504085,1.079218,34,32,8192,8204,12,1,phase6_core_operands_prestaged_optimistic_tcgen
L1,128,12,128,20,100,5,597.740784,597.740173,2263.697662,2263.533173,4.669850,17.685138,0.264055,38,39,41472,45580,5,1,phase6_plus_state_gate_plus_scalar_U_reformat_upper_envelope
L0,128,12,256,20,100,5,132.918396,132.896318,114.661436,114.658556,0.519212,0.447896,1.159225,34,32,8192,8204,12,1,phase6_core_operands_prestaged_optimistic_tcgen
L1,128,12,256,20,100,5,1182.352982,1182.310104,4513.885498,4513.823853,4.618566,17.632365,0.261937,38,39,41472,45580,5,1,phase6_plus_state_gate_plus_scalar_U_reformat_upper_envelope
L0,128,12,512,20,100,5,258.232632,258.173122,213.136635,213.116798,0.504361,0.416282,1.211583,34,32,8192,8204,12,1,phase6_core_operands_prestaged_optimistic_tcgen
L1,128,12,512,20,100,5,2352.232971,2352.191925,9015.891113,9015.584717,4.594205,17.609162,0.260899,38,39,41472,45580,5,1,phase6_plus_state_gate_plus_scalar_U_reformat_upper_envelope
L0,128,148,1,20,100,5,7.200960,7.200000,18.464320,18.464000,7.200960,18.464320,0.389993,34,32,8192,8204,12,1,phase6_core_operands_prestaged_optimistic_tcgen
L1,128,148,1,20,100,5,16.908799,16.906880,30.751679,30.740161,16.908799,30.751679,0.549850,38,39,41472,45580,5,1,phase6_plus_state_gate_plus_scalar_U_reformat_upper_envelope
L0,128,148,4,20,100,5,8.224320,8.222400,19.888639,19.824960,2.056080,4.972160,0.413518,34,32,8192,8204,12,1,phase6_core_operands_prestaged_optimistic_tcgen
L1,128,148,4,20,100,5,30.760961,30.752959,83.948164,83.938560,7.690240,20.987041,0.366428,38,39,41472,45580,5,1,phase6_plus_state_gate_plus_scalar_U_reformat_upper_envelope
