# device=NVIDIA B300 SXM6 AC,cc=10.3,driver=13000,runtime=13000
level,V,grid,inner,warmup,iters,repeats,mma_median_kernel_us,mma_min_kernel_us,tcgen_median_kernel_us,tcgen_min_kernel_us,mma_median_phase_us,tcgen_median_phase_us,speedup_median,mma_regs,tcgen_regs,mma_static_smem_B,tcgen_static_smem_B,mma_active_blocks_per_sm,tcgen_active_blocks_per_sm,scope
L0,128,148,16,20,100,5,14.368320,14.368000,24.607999,24.598081,0.898020,1.538000,0.583888,34,32,8192,8204,12,1,phase6_core_operands_prestaged_optimistic_tcgen
L1,128,148,16,20,100,5,86.007681,86.007042,294.810238,294.790401,5.375480,18.425640,0.291739,38,39,41472,45580,5,1,phase6_plus_state_gate_plus_scalar_U_reformat_upper_envelope
L0,128,148,64,20,100,5,38.913281,38.903041,43.050880,43.049922,0.608020,0.672670,0.903890,34,32,8192,8204,12,1,phase6_core_operands_prestaged_optimistic_tcgen
L1,128,148,64,20,100,5,305.204792,305.143032,1139.232635,1139.048004,4.768825,17.800510,0.267904,38,39,41472,45580,5,1,phase6_plus_state_gate_plus_scalar_U_reformat_upper_envelope
L0,128,148,96,20,100,5,53.320961,53.299518,55.358720,55.347838,0.555427,0.576653,0.963190,34,32,8192,8204,12,1,phase6_core_operands_prestaged_optimistic_tcgen
L1,128,148,96,20,100,5,451.184006,450.962257,1702.288971,1701.837158,4.699833,17.732177,0.265045,38,39,41472,45580,5,1,phase6_plus_state_gate_plus_scalar_U_reformat_upper_envelope
L0,128,148,128,20,100,5,69.662719,69.643841,68.774080,68.732481,0.544240,0.537298,1.012921,34,32,8192,8204,12,1,phase6_core_operands_prestaged_optimistic_tcgen
L1,128,148,128,20,100,5,597.843208,597.761612,2265.519714,2265.272980,4.670650,17.699373,0.263888,38,39,41472,45580,5,1,phase6_plus_state_gate_plus_scalar_U_reformat_upper_envelope
L0,128,148,256,20,100,5,133.120317,133.100796,120.864000,120.863676,0.520001,0.472125,1.101406,34,32,8192,8204,12,1,phase6_core_operands_prestaged_optimistic_tcgen
L1,128,148,256,20,100,5,1182.558365,1182.516479,4518.145752,4517.222595,4.619369,17.649007,0.261735,38,39,41472,45580,5,1,phase6_plus_state_gate_plus_scalar_U_reformat_upper_envelope
L0,128,148,512,20,100,5,259.299526,259.238071,227.914886,227.811203,0.506444,0.445146,1.137703,34,32,8192,8204,12,1,phase6_core_operands_prestaged_optimistic_tcgen
L1,128,148,512,20,100,5,2352.682495,2352.456970,9023.244629,9022.403564,4.595083,17.623525,0.260736,38,39,41472,45580,5,1,phase6_plus_state_gate_plus_scalar_U_reformat_upper_envelope
