# device=NVIDIA B300 SXM6 AC,cc=10.3,driver=13000,runtime=13000
level,V,grid,inner,warmup,iters,repeats,mma_median_kernel_us,mma_min_kernel_us,tcgen_scalar_median_kernel_us,tcgen_scalar_min_kernel_us,tcgen_preferred_median_kernel_us,tcgen_preferred_min_kernel_us,mma_median_phase_us,tcgen_scalar_median_phase_us,tcgen_preferred_median_phase_us,scalar_speedup_median,preferred_speedup_median,preferred_over_scalar_median,mma_regs,tcgen_scalar_regs,tcgen_preferred_regs,mma_static_smem_B,tcgen_scalar_static_smem_B,tcgen_preferred_static_smem_B,mma_active_blocks_per_sm,tcgen_scalar_active_blocks_per_sm,tcgen_preferred_active_blocks_per_sm,scope
L1,16,96,1,30,200,7,8.464160,8.453760,10.256160,10.250880,10.255680,10.246240,8.464160,10.256160,10.255680,0.825276,0.825314,1.000047,32,38,32,9216,9740,9228,16,1,1,phase6_state_gate_preferred_layout_contract_probe
L1,16,96,64,30,200,7,73.734398,73.713918,93.414564,93.323364,77.051840,77.010078,1.152100,1.459603,1.203935,0.789324,0.956945,1.212360,32,38,32,9216,9740,9228,16,1,1,phase6_state_gate_preferred_layout_contract_probe
