# device=NVIDIA B300 SXM6 AC,cc=10.3,driver=13000,runtime=13000
level,V,grid,inner,warmup,iters,repeats,mma_median_kernel_us,mma_min_kernel_us,tcgen_scalar_median_kernel_us,tcgen_scalar_min_kernel_us,tcgen_preferred_median_kernel_us,tcgen_preferred_min_kernel_us,mma_median_phase_us,tcgen_scalar_median_phase_us,tcgen_preferred_median_phase_us,scalar_speedup_median,preferred_speedup_median,preferred_over_scalar_median,mma_regs,tcgen_scalar_regs,tcgen_preferred_regs,mma_static_smem_B,tcgen_scalar_static_smem_B,tcgen_preferred_static_smem_B,mma_active_blocks_per_sm,tcgen_scalar_active_blocks_per_sm,tcgen_preferred_active_blocks_per_sm,scope
L1,16,96,1,30,200,5,8.454240,8.453920,10.256320,10.251040,10.255840,10.240800,8.454240,10.256320,10.255840,0.824296,0.824334,1.000047,32,38,32,9216,9740,9228,16,1,1,phase6_state_gate_preferred_layout_contract_probe
L1,16,96,64,30,200,5,73.764162,73.754559,93.374395,93.323040,77.123199,77.051840,1.152565,1.458975,1.205050,0.789983,0.956446,1.210717,32,38,32,9216,9740,9228,16,1,1,phase6_state_gate_preferred_layout_contract_probe
