# device=NVIDIA B300 SXM6 AC,cc=10.3,driver=13000,runtime=13000
level,V,grid,inner,warmup,iters,repeats,mma_median_kernel_us,mma_min_kernel_us,tcgen_scalar_median_kernel_us,tcgen_scalar_min_kernel_us,tcgen_preferred_median_kernel_us,tcgen_preferred_min_kernel_us,mma_median_phase_us,tcgen_scalar_median_phase_us,tcgen_preferred_median_phase_us,scalar_speedup_median,preferred_speedup_median,preferred_over_scalar_median,mma_regs,tcgen_scalar_regs,tcgen_preferred_regs,mma_static_smem_B,tcgen_scalar_static_smem_B,tcgen_preferred_static_smem_B,mma_active_blocks_per_sm,tcgen_scalar_active_blocks_per_sm,tcgen_preferred_active_blocks_per_sm,scope
L1,16,96,1,30,200,5,6.160160,6.154720,6.165280,6.155360,6.159520,6.155360,6.160160,6.165280,6.159520,0.999170,1.000104,1.000935,32,39,32,9216,9740,9228,16,1,1,phase6_state_gate_preferred_layout_contract_probe
L1,16,96,64,30,200,5,43.014398,42.998562,55.276480,55.276160,45.051680,45.040641,0.672100,0.863695,0.703932,0.778168,0.954779,1.226957,32,39,32,9216,9740,9228,16,1,1,phase6_state_gate_preferred_layout_contract_probe
