case,packed,nseq,total_tokens,heads,mode,repeat,order_index,mean_ms,median_ms,p90_ms,min_ms,max_ms,stdev_ms
fixed_1x8192,False,1,8192,12,v16,0,0,0.5693024024367332,0.5689440071582794,0.5709760189056396,0.5676800012588501,0.6025599837303162,0.002689587397435595
fixed_1x8192,False,1,8192,12,auto,0,1,0.5694531208276749,0.5697919726371765,0.5709440112113953,0.5677120089530945,0.5888000130653381,0.0018831814670482463
fixed_1x8192,False,1,8192,12,compat_v128,0,2,0.7802118387818336,0.780239999294281,0.7828800082206726,0.7767360210418701,0.7939839959144592,0.0020518074596905136
fixed_1x8192,False,1,8192,12,v32,0,3,0.5848284792900086,0.5843520164489746,0.5863360166549683,0.582144021987915,0.6032639741897583,0.0017492718757478906
fixed_1x8192,False,1,8192,12,v64,0,4,0.6346571180224418,0.6344320178031921,0.6356800198554993,0.6313279867172241,0.6510080099105835,0.0017446754306747584
fixed_1x8192,False,1,8192,12,auto,1,0,0.5694601619243622,0.5696319937705994,0.5717440247535706,0.5677120089530945,0.5887680053710938,0.0019535986819248815
fixed_1x8192,False,1,8192,12,v32,1,1,0.5846945592761039,0.584384024143219,0.5863360166549683,0.582144021987915,0.6034560203552246,0.001756406222573614
fixed_1x8192,False,1,8192,12,v64,1,2,0.6345055994391441,0.6336320042610168,0.6357120275497437,0.6313279867172241,0.6496959924697876,0.0017894591733596628
fixed_1x8192,False,1,8192,12,v16,1,3,0.5694408017396927,0.5697280168533325,0.5711359977722168,0.5677440166473389,0.5852479934692383,0.001668657044815595
fixed_1x8192,False,1,8192,12,compat_v128,1,4,0.7804052799940109,0.7806880176067352,0.782975971698761,0.776639997959137,0.79721599817276,0.002203621495379019
fixed_1x8192,False,1,8192,12,v64,2,0,0.6344828823208809,0.6336320042610168,0.6356160044670105,0.6313920021057129,0.654367983341217,0.001951580040388831
