label,report,kernel,grid_size,cta_count,block_size,threads_per_cta,duration_value,duration_unit,compute_sm_value,compute_sm_unit,dram_value,dram_unit,occupancy_value,occupancy_unit,eligible_value,eligible_unit,no_eligible_value,no_eligible_unit,registers_value,registers_unit,dynamic_smem_value,dynamic_smem_unit,tensor_value,tensor_unit,tensor_metric
official_v128,05_official_v128_h12_t8192_17965.ncu-rep,_flash_kda_fwd_recurrence,"(1, 12, 1)",12,"(192, 1, 1)",192,1.27,ms,2.64,%,1.24,%,9.37,%,0.35,warp,67.00,%,73,register/thread,98.43,Kbyte/block,2.48,%,sm__pipe_tensor_cycles_active.avg.pct_of_peak_sustained_elapsed
valueslice_v16,05_valueslice_v16_h12_t8192_17965.ncu-rep,_flash_kda_fwd_recurrence,"(1, 12, 8)",96,"(96, 1, 1)",96,901.22,us,7.22,%,1.83,%,4.69,%,0.15,warp,85.06,%,54,register/thread,48.64,Kbyte/block,3.50,%,sm__pipe_tensor_cycles_active.avg.pct_of_peak_sustained_elapsed
