device=NVIDIA B300 SXM6 AC cc=10.3 peak=2250.0_TFLOPS bandwidth=8000.0_GB/s balance=281.25_FLOP/byte
layer                    M      N      K        us    TFLOPS      GB/s      AI    roofTF   bound  %TCpeak  %BWroof
f_b_proj                 1   1536    128       4.3       0.1      93.2     1.0       7.9  memory     0.0%     1.2%
f_b_proj                 8   1536    128       6.2       0.5      68.2     7.5      59.9  memory     0.0%     0.9%
f_b_proj                16   1536    128       4.2       1.5     107.0    14.1     112.7  memory     0.1%     1.3%
f_b_proj                64   1536    128       4.2       6.0     143.9    41.5     332.1  memory     0.3%     1.8%
f_b_proj               256   1536    128       4.3      23.4     288.8    80.8     646.7  memory     1.0%     3.6%
f_b_proj              1024   1536    128       4.6      86.7     818.3   105.9     847.4  memory     3.9%    10.2%
f_b_proj              4096   1536    128       8.1     199.0    1733.1   114.8     918.7  memory     8.8%    21.7%
f_b_proj             16384   1536    128      19.3     333.8    2845.4   117.3     938.5  memory    14.8%    35.6%
f_b_proj             65536   1536    128      62.4     412.9    3500.7   117.9     943.5  memory    18.3%    43.8%

q_b_proj                 1   2304   1536      12.5       0.6     569.0     1.0       8.0  memory     0.0%     7.1%
q_b_proj                 8   2304   1536       8.1       7.0     879.7     7.9      63.4  memory     0.3%    11.0%
q_b_proj                16   2304   1536       5.6      20.1    1277.5    15.7     125.8  memory     0.9%    16.0%
q_b_proj                64   2304   1536       5.7      79.6    1330.9    59.8     478.8  memory     3.5%    16.6%
q_b_proj               256   2304   1536       6.1     295.6    1475.5   200.3    1602.8  memory    13.1%    18.4%
q_b_proj              1024   2304   1536      10.1     720.7    1485.8   485.1    2250.0 compute    32.0%    18.6%
q_b_proj              4096   2304   1536      28.4    1022.0    1358.5   752.3    2250.0 compute    45.4%    17.0%
q_b_proj             16384   2304   1536      96.7    1198.9    1374.1   872.5    2250.0 compute    53.3%    17.2%
q_b_proj             65536   2304   1536     366.4    1265.8    1392.8   908.8    2250.0 compute    56.3%    17.4%

o_proj                   1   7168   1536       6.4       3.5    3469.3     1.0       8.0  memory     0.2%    43.4%
o_proj                   8   7168   1536       5.7      30.8    3876.1     7.9      63.6  memory     1.4%    48.5%
o_proj                  16   7168   1536       5.8      60.6    3837.2    15.8     126.4  memory     2.7%    48.0%
o_proj                  64   7168   1536       7.3     192.0    3152.5    60.9     487.3  memory     8.5%    39.4%
o_proj                 256   7168   1536      10.0     561.7    2638.3   212.9    1703.3  memory    25.0%    33.0%
o_proj                1024   7168   1536      28.2     799.5    1412.9   565.9    2250.0 compute    35.5%    17.7%
o_proj                4096   7168   1536      75.6    1192.8    1234.2   966.5    2250.0 compute    53.0%    15.4%
o_proj               16384   7168   1536     287.6    1254.5    1068.3  1174.3    2250.0 compute    55.8%    13.4%
o_proj               65536   7168   1536    1100.0    1311.9    1057.2  1241.0    2250.0 compute    58.3%    13.2%

fused_qkv_a_proj         1   2112   7168      10.2       3.0    2958.5     1.0       8.0  memory     0.1%    37.0%
fused_qkv_a_proj         8   2112   7168      10.3      23.5    2957.8     8.0      63.7  memory     1.0%    37.0%
fused_qkv_a_proj        16   2112   7168      10.5      46.1    2911.4    15.8     126.8  memory     2.1%    36.4%
fused_qkv_a_proj        64   2112   7168      14.2     136.3    2212.9    61.6     492.7  memory     6.1%    27.7%
fused_qkv_a_proj       256   2112   7168      17.2     450.3    2034.8   221.3    1770.2  memory    20.0%    25.4%
fused_qkv_a_proj      1024   2112   7168      35.4     875.6    1391.7   629.1    2250.0 compute    38.9%    17.4%
fused_qkv_a_proj      4096   2112   7168     112.1    1105.8     947.8  1166.7    2250.0 compute    49.1%    11.8%
fused_qkv_a_proj     16384   2112   7168     427.4    1160.6     782.3  1483.6    2250.0 compute    51.6%     9.8%
fused_qkv_a_proj     65536   2112   7168    1523.4    1302.6     818.3  1591.7    2250.0 compute    57.9%    10.2%

