device=NVIDIA B300 SXM6 AC cc=10.3 peak=2250.0_TFLOPS bandwidth=8000.0_GB/s balance=281.25_FLOP/byte
layer                    M      N      K        us    TFLOPS      GB/s      AI    roofTF   bound  %TCpeak  %BWroof
f_b_proj                 1   1536    128       4.3       0.1      93.0     1.0       7.9  memory     0.0%     1.2%
f_b_proj                 8   1536    128       6.2       0.5      68.3     7.5      59.9  memory     0.0%     0.9%
f_b_proj                16   1536    128       4.2       1.5     105.3    14.1     112.7  memory     0.1%     1.3%
f_b_proj                64   1536    128       4.5       5.6     135.5    41.5     332.1  memory     0.3%     1.7%
f_b_proj               256   1536    128       4.2      23.9     296.2    80.8     646.7  memory     1.1%     3.7%
f_b_proj              1024   1536    128       4.6      86.6     817.6   105.9     847.4  memory     3.8%    10.2%
f_b_proj              4096   1536    128       8.1     199.0    1732.8   114.8     918.7  memory     8.8%    21.7%
f_b_proj             16384   1536    128      19.3     334.5    2851.6   117.3     938.5  memory    14.9%    35.6%
f_b_proj             65536   1536    128      62.4     413.2    3503.3   117.9     943.5  memory    18.4%    43.8%

q_b_proj                 1   2304   1536      12.4       0.6     573.1     1.0       8.0  memory     0.0%     7.2%
q_b_proj                 8   2304   1536       8.1       7.0     883.1     7.9      63.4  memory     0.3%    11.0%
q_b_proj                16   2304   1536       5.6      20.1    1277.7    15.7     125.8  memory     0.9%    16.0%
q_b_proj                64   2304   1536       5.7      79.6    1330.7    59.8     478.8  memory     3.5%    16.6%
q_b_proj               256   2304   1536       6.1     296.1    1478.2   200.3    1602.8  memory    13.2%    18.5%
q_b_proj              1024   2304   1536      10.0     723.3    1491.2   485.1    2250.0 compute    32.1%    18.6%
q_b_proj              4096   2304   1536      28.4    1020.6    1356.5   752.3    2250.0 compute    45.4%    17.0%
q_b_proj             16384   2304   1536      96.6    1200.2    1375.5   872.5    2250.0 compute    53.3%    17.2%
q_b_proj             65536   2304   1536     366.6    1265.1    1392.1   908.8    2250.0 compute    56.2%    17.4%

o_proj                   1   7168   1536       6.3       3.5    3503.0     1.0       8.0  memory     0.2%    43.8%
o_proj                   8   7168   1536       5.7      30.6    3854.7     7.9      63.6  memory     1.4%    48.2%
o_proj                  16   7168   1536       5.8      60.9    3856.9    15.8     126.4  memory     2.7%    48.2%
o_proj                  64   7168   1536       7.5     189.0    3102.6    60.9     487.3  memory     8.4%    38.8%
o_proj                 256   7168   1536      10.1     559.7    2628.8   212.9    1703.3  memory    24.9%    32.9%
o_proj                1024   7168   1536      28.6     789.3    1394.7   565.9    2250.0 compute    35.1%    17.4%
o_proj                4096   7168   1536      76.1    1185.8    1226.9   966.5    2250.0 compute    52.7%    15.3%
o_proj               16384   7168   1536     287.3    1255.8    1069.4  1174.3    2250.0 compute    55.8%    13.4%
o_proj               65536   7168   1536    1100.5    1311.3    1056.7  1241.0    2250.0 compute    58.3%    13.2%

fused_qkv_a_proj         1   2112   7168      10.2       3.0    2960.1     1.0       8.0  memory     0.1%    37.0%
fused_qkv_a_proj         8   2112   7168      10.3      23.5    2958.0     8.0      63.7  memory     1.0%    37.0%
fused_qkv_a_proj        16   2112   7168      10.5      46.1    2908.5    15.8     126.8  memory     2.0%    36.4%
fused_qkv_a_proj        64   2112   7168      14.2     136.2    2212.2    61.6     492.7  memory     6.1%    27.7%
fused_qkv_a_proj       256   2112   7168      17.2     449.9    2033.1   221.3    1770.2  memory    20.0%    25.4%
fused_qkv_a_proj      1024   2112   7168      35.4     876.5    1393.3   629.1    2250.0 compute    39.0%    17.4%
fused_qkv_a_proj      4096   2112   7168     112.2    1105.0     947.2  1166.7    2250.0 compute    49.1%    11.8%
fused_qkv_a_proj     16384   2112   7168     427.7    1159.8     781.7  1483.6    2250.0 compute    51.5%     9.8%
fused_qkv_a_proj     65536   2112   7168    1525.8    1300.5     817.0  1591.7    2250.0 compute    57.8%    10.2%

in_proj_qkvgfab          1   6288   7168      19.5       4.6    4624.8     1.0       8.0  memory     0.2%    57.8%
in_proj_qkvgfab          8   6288   7168      18.9      38.3    4792.9     8.0      63.8  memory     1.7%    59.9%
in_proj_qkvgfab         16   6288   7168      19.8      72.7    4563.9    15.9     127.4  memory     3.2%    57.0%
in_proj_qkvgfab         64   6288   7168      18.6     310.6    4945.7    62.8     502.4  memory    13.8%    61.8%
in_proj_qkvgfab        256   6288   7168      27.0     855.7    3598.2   237.8    1902.6  memory    38.0%    45.0%
in_proj_qkvgfab       1024   6288   7168      79.3    1164.6    1485.0   784.2    2250.0 compute    51.8%    18.6%
in_proj_qkvgfab       4096   6288   7168     321.2    1149.7     623.9  1842.7    2250.0 compute    51.1%     7.8%
in_proj_qkvgfab      16384   6288   7168    1161.4    1271.7     457.3  2781.0    2250.0 compute    56.5%     5.7%
in_proj_qkvgfab      65536   6288   7168    4573.2    1291.8     405.4  3186.7    2250.0 compute    57.4%     5.1%

dense_down_proj          1   7168   8448      27.8       4.4    4365.3     1.0       8.0  memory     0.2%    54.6%
dense_down_proj          8   7168   8448      25.8      37.6    4707.6     8.0      63.9  memory     1.7%    58.8%
dense_down_proj         16   7168   8448      26.5      73.0    4581.7    15.9     127.5  memory     3.2%    57.3%
dense_down_proj         64   7168   8448      29.9     259.4    4119.3    63.0     503.7  memory    11.5%    51.5%
dense_down_proj        256   7168   8448      34.1     910.2    3790.1   240.1    1921.2  memory    40.5%    47.4%
dense_down_proj       1024   7168   8448     132.4     936.4    1155.9   810.1    2250.0 compute    41.6%    14.4%
dense_down_proj       4096   7168   8448     390.1    1271.8     638.5  1991.9    2250.0 compute    56.5%     8.0%
dense_down_proj      16384   7168   8448    1551.5    1278.9     407.9  3135.6    2250.0 compute    56.8%     5.1%
dense_down_proj      65536   7168   8448    6030.5    1316.2     359.5  3661.1    2250.0 compute    58.5%     4.5%

dense_gate_up_proj       1  16896   7168      42.8       5.7    5655.9     1.0       8.0  memory     0.3%    70.7%
dense_gate_up_proj       8  16896   7168      39.7      48.8    6115.5     8.0      63.9  memory     2.2%    76.4%
dense_gate_up_proj      16  16896   7168      40.8      95.1    5960.0    15.9     127.6  memory     4.2%    74.5%
dense_gate_up_proj      64  16896   7168      42.4     365.8    5789.0    63.2     505.6  memory    16.3%    72.4%
dense_gate_up_proj     256  16896   7168      61.7    1005.8    4128.8   243.6    1948.9  memory    44.7%    51.6%
dense_gate_up_proj    1024  16896   7168     217.8    1138.8    1338.4   850.9    2250.0 compute    50.6%    16.7%
dense_gate_up_proj    4096  16896   7168     849.9    1167.3     516.9  2258.2    2250.0 compute    51.9%     6.5%
dense_gate_up_proj   16384  16896   7168    3044.6    1303.5     338.5  3850.2    2250.0 compute    57.9%     4.2%
dense_gate_up_proj   65536  16896   7168   12002.1    1322.6     283.0  4673.9    2250.0 compute    58.8%     3.5%
