# device=NVIDIA B300 SXM6 AC,cc=10.3,driver=13000,runtime=13000
level,V,grid,inner,warmup,iters,repeats,mma_median_kernel_us,mma_min_kernel_us,tcgen_median_kernel_us,tcgen_min_kernel_us,mma_median_phase_us,tcgen_median_phase_us,speedup_median,mma_regs,tcgen_regs,mma_static_smem_B,tcgen_static_smem_B,mma_active_blocks_per_sm,tcgen_active_blocks_per_sm,scope
L0,16,96,1,30,200,5,6.160480,6.160160,8.208480,8.208000,6.160480,8.208480,0.750502,32,32,4608,4620,16,1,phase6_core_operands_prestaged_optimistic_tcgen
L1,16,96,1,30,200,5,8.280320,8.249600,10.256160,10.251040,8.280320,10.256160,0.807351,32,39,9216,9740,16,1,phase6_plus_state_gate_plus_scalar_U_reformat_upper_envelope
L0,16,96,64,30,200,5,43.008642,42.999039,26.630399,26.629119,0.672010,0.416100,1.615021,32,32,4608,4620,16,1,phase6_core_operands_prestaged_optimistic_tcgen
L1,16,96,64,30,200,5,73.754559,73.744321,94.736481,94.664478,1.152415,1.480258,0.778523,32,39,9216,9740,16,1,phase6_plus_state_gate_plus_scalar_U_reformat_upper_envelope
