# device=NVIDIA B300 SXM6 AC,cc=10.3,driver=13000,runtime=13000
level,V,grid,inner,warmup,iters,repeats,mma_median_kernel_us,mma_min_kernel_us,tcgen_scalar_median_kernel_us,tcgen_scalar_min_kernel_us,tcgen_preferred_median_kernel_us,tcgen_preferred_min_kernel_us,mma_median_phase_us,tcgen_scalar_median_phase_us,tcgen_preferred_median_phase_us,scalar_speedup_median,preferred_speedup_median,preferred_over_scalar_median,mma_regs,tcgen_scalar_regs,tcgen_preferred_regs,mma_static_smem_B,tcgen_scalar_static_smem_B,tcgen_preferred_static_smem_B,mma_active_blocks_per_sm,tcgen_scalar_active_blocks_per_sm,tcgen_preferred_active_blocks_per_sm,scope
L1,16,96,1,30,200,7,6.159520,6.154880,6.160320,6.159520,6.160000,6.155360,6.159520,6.160320,6.160000,0.999870,0.999922,1.000052,32,39,32,9216,9740,9228,16,1,1,phase6_state_gate_preferred_layout_contract_probe
L1,16,96,64,30,200,7,43.019042,42.998400,55.280638,55.270882,45.046558,45.041442,0.672173,0.863760,0.703852,0.778194,0.954991,1.227189,32,39,32,9216,9740,9228,16,1,1,phase6_state_gate_preferred_layout_contract_probe
